# Source:  “PhotochemCAD 3: Diverse Modules for Photophysical Calculations with Access to Multiple Spectral Databases,”Taniguchi, M.; Du, H.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 277–289. 
# Source:  “Database of Absorption and Fluorescence Spectra of >300 Common Compounds for Use in PhotochemCAD,” Taniguchi, M.; Lindsey, J. S. Photochem. Photobiol. 2018, 94, 290–327.
# Date Accessed: 20 Jan 2021
Wavelength (nm)	T16 BChl a abs e
537.20	4333.2
537.40	4364.7
537.60	4386.5
537.80	4369.5
538.00	4388.9
538.20	4439.7
538.40	4488.2
538.60	4512.4
538.80	4514.8
539.00	4543.8
539.20	4601.9
539.40	4546.3
539.60	4563.2
539.80	4618.9
540.00	4604.4
540.20	4640.7
540.40	4614.0
540.60	4689.1
540.80	4664.9
541.00	4684.2
541.20	4756.9
541.40	4735.1
541.60	4764.1
541.80	4776.2
542.00	4766.6
542.20	4834.3
542.40	4812.5
542.60	4841.6
542.80	4834.3
543.00	4795.6
543.20	4882.7
543.40	4904.5
543.60	4890.0
543.80	4931.2
544.00	4936.0
544.20	4943.3
544.40	5018.3
544.60	5008.6
544.80	4986.8
545.00	5023.2
545.20	5047.4
545.40	5061.9
545.60	5057.0
545.80	5098.2
546.00	5100.6
546.20	5120.0
546.40	5100.6
546.60	5166.0
546.80	5153.9
547.00	5214.4
547.20	5204.7
547.40	5248.3
547.60	5236.2
547.80	5265.2
548.00	5291.9
548.20	5340.3
548.40	5333.0
548.60	5347.5
548.80	5371.7
549.00	5451.6
549.20	5434.7
549.40	5485.5
549.60	5502.5
549.80	5509.7
550.00	5582.4
550.20	5609.0
550.40	5647.7
550.60	5630.8
550.80	5705.8
551.00	5754.2
551.20	5795.4
551.40	5807.5
551.60	5868.0
551.80	5906.7
552.00	6013.3
552.20	5996.3
552.40	6071.4
552.60	6117.4
552.80	6158.5
553.00	6206.9
553.20	6226.3
553.40	6301.3
553.60	6357.0
553.80	6473.2
554.00	6499.8
554.20	6574.9
554.40	6649.9
554.60	6732.2
554.80	6739.5
555.00	6858.1
555.20	6904.1
555.40	7017.9
555.60	7059.0
555.80	7189.8
556.00	7243.0
556.20	7339.9
556.40	7458.5
556.60	7504.5
556.80	7611.0
557.00	7681.2
557.20	7753.8
557.40	7874.9
557.60	8005.6
557.80	8073.4
558.00	8141.1
558.20	8281.5
558.40	8385.6
558.60	8555.1
558.80	8661.6
559.00	8787.5
559.20	8906.1
559.40	9000.5
559.60	9126.4
559.80	9262.0
560.00	9375.7
560.20	9484.7
560.40	9651.7
560.60	9818.8
560.80	9939.8
561.00	10090
561.20	10221
561.40	10330
561.60	10482
561.80	10649
562.00	10789
562.20	10920
562.40	11138
562.60	11281
562.80	11375
563.00	11579
563.20	11688
563.40	11872
563.60	12056
563.80	12211
564.00	12404
564.20	12564
564.40	12784
564.60	12905
564.80	13097
565.00	13300
565.20	13462
565.40	13624
565.60	13811
565.80	13997
566.00	14200
566.20	14363
566.40	14559
566.60	14670
566.80	14919
567.00	15106
567.20	15285
567.40	15430
567.60	15638
567.80	15808
568.00	16021
568.20	16183
568.40	16384
568.60	16566
568.80	16771
569.00	16943
569.20	17130
569.40	17314
569.60	17464
569.80	17628
570.00	17853
570.20	18086
570.40	18292
570.60	18488
570.80	18657
571.00	18827
571.20	18996
571.40	19163
571.60	19391
571.80	19507
572.00	19625
572.20	19897
572.40	20005
572.60	20194
572.80	20310
573.00	20526
573.20	20662
573.40	20787
573.60	20942
573.80	21054
574.00	21240
574.20	21373
574.40	21521
574.60	21623
574.80	21811
575.00	21877
575.20	22068
575.40	22160
575.60	22254
575.80	22337
576.00	22487
576.20	22550
576.40	22700
576.60	22702
576.80	22852
577.00	22910
577.20	23024
577.40	23087
577.60	23145
577.80	23201
578.00	23317
578.20	23349
578.40	23351
578.60	23361
578.80	23445
579.00	23516
579.20	23511
579.40	23533
579.60	23533
579.80	23562
580.00	23571
580.20	23596
580.40	23537
580.60	23564
580.80	23533
581.00	23489
581.20	23504
581.40	23458
581.60	23382
581.80	23336
582.00	23329
582.20	23259
582.40	23189
582.60	23094
582.80	23063
583.00	22959
583.20	22893
583.40	22794
583.60	22705
583.80	22567
584.00	22482
584.20	22375
584.40	22266
584.60	22143
584.80	21988
585.00	21821
585.20	21741
585.40	21606
585.60	21429
585.80	21308
586.00	21138
586.20	20957
586.40	20833
586.60	20632
586.80	20405
587.00	20248
587.20	20064
587.40	19894
587.60	19664
587.80	19444
588.00	19320
588.20	19093
588.40	18885
588.60	18643
588.80	18483
589.00	18304
589.20	18008
589.40	17793
589.60	17563
589.80	17379
590.00	17156
590.20	16953
590.40	16752
590.60	16466
590.80	16260
591.00	16055
591.20	15796
591.40	15580
591.60	15314
591.80	15166
592.00	14907
592.20	14663
592.40	14452
592.60	14227
592.80	14055
593.00	13789
593.20	13561
593.40	13368
593.60	13143
593.80	12886
594.00	12687
594.20	12489
594.40	12266
594.60	12097
594.80	11886
595.00	11722
595.20	11496
595.40	11245
595.60	11073
595.80	10908
596.00	10712
596.20	10538
596.40	10339
596.60	10148
596.80	9947.1
597.00	9792.1
597.20	9613.0
597.40	9450.8
597.60	9237.8
597.80	9102.2
598.00	8937.6
598.20	8789.9
598.40	8651.9
598.60	8470.4
598.80	8322.7
599.00	8216.2
599.20	8015.3
599.40	7867.6
599.60	7751.4
599.80	7581.9
600.00	7446.4
600.20	7301.1
600.40	7158.3
600.60	7076.0
600.80	6935.6
601.00	6792.8
601.20	6691.1
601.40	6538.6
601.60	6526.5
601.80	6361.9
602.00	6274.7
602.20	6098.0
602.40	5996.3
602.60	5916.4
602.80	5826.9
603.00	5725.2
603.20	5623.5
603.40	5560.6
603.60	5451.6
603.80	5383.9
604.00	5284.6
604.20	5149.0
604.40	5071.6
604.60	4998.9
604.80	4943.3
605.00	4839.2
605.20	4766.6
605.40	4713.3
605.60	4633.4
605.80	4606.8
606.00	4497.8
606.20	4485.7
606.40	4405.9
606.60	4275.1
606.80	4267.9
607.00	4178.3
607.20	4110.5
607.40	4059.7
607.60	4011.3
607.80	3991.9
608.00	3945.9
608.20	3824.9
608.40	3817.6
608.60	3781.3
608.80	3728.0
609.00	3686.9
609.20	3611.8
609.40	3602.1
609.60	3551.3
609.80	3505.3
610.00	3502.9
610.20	3435.1
610.40	3389.1
610.60	3396.4
610.80	3333.4
611.00	3292.3
611.20	3265.7
611.40	3239.0
611.60	3224.5
611.80	3180.9
612.00	3127.7
612.20	3105.9
612.40	3110.7
612.60	3055.0
612.80	3004.2
613.00	3013.9
613.20	3030.8
613.40	2960.6
613.60	2919.5
613.80	2929.2
614.00	2892.9
614.20	2861.4
614.40	2868.6
614.60	2859.0
614.80	2834.8
615.00	2737.9
615.20	2813.0
615.40	2796.0
615.60	2764.6
615.80	2728.2
616.00	2723.4
616.20	2713.7
616.40	2721.0
616.60	2699.2
616.80	2667.7
617.00	2670.1
617.20	2638.7
617.40	2636.2
617.60	2660.5
617.80	2599.9
618.00	2612.0
618.20	2614.5
618.40	2585.4
618.60	2599.9
618.80	2558.8
619.00	2583.0
619.20	2580.6
619.40	2529.7
619.60	2517.6
619.80	2549.1
620.00	2549.1
620.20	2515.2
620.40	2515.2
620.60	2524.9
620.80	2544.3
621.00	2476.5
621.20	2440.2
621.40	2466.8
621.60	2476.5
621.80	2430.5
622.00	2483.7
622.20	2452.3
622.40	2442.6
622.60	2457.1
622.80	2452.3
623.00	2476.5
623.20	2447.4
623.40	2498.3
